Unnamed: 0,Molecule Name,SMILES,Mean activity (%),Standard Deviation
136,PCM-0223594,Fc1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1Br,61.5,0.7
138,PCM-0223593,Clc1ccc2[C@@H](CN(CC(=O)Nc3cnc(Cl)c(Br)c3)Cc2c1)C(=O)Nc4cncc5ccccc45,81.5,0.6
140,PCM-0223592,CC(C)(C)c1csc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)n1,80.9,0.2
142,PCM-0223591,OC12CC3CC(C1)CC(C3)(C2)NC(=O)CN4CC(C(=O)Nc5cncc6ccccc56)c7ccc(Cl)cc7C4,3.6,0.0
144,PCM-0223590,Clc1ccc2[C@@H](CN(CC(=O)N3CCC(CC3)c4nc5ccccc5[nH]4)Cc2c1)C(=O)Nc6cncc7ccccc67,23.9,0.1
146,PCM-0223589,Cc1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1I,64.4,0.0
148,PCM-0223588,Fc1cnc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c(Br)c1,86.5,0.1
150,PCM-0223587,COc1nc(Br)cnc1NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2,84.9,2.3
152,PCM-0223586,OCCn1cnc2c(NC(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3)ncnc12,84.0,0.9
154,PCM-0223585,CN(Cc1cccc2ccccc12)C(=O)CN3C[C@@H](C(=O)Nc4cncc5ccccc45)c6ccc(Cl)cc6C3,41.3,3.9
156,PCM-0223584,Clc1ccc2[C@@H](CN(CC(=O)Nc3ccc(Cl)nc3Cl)Cc2c1)C(=O)Nc4cncc5ccccc45,83.9,0.9
158,PCM-0223583,Clc1ccc2[C@@H](CN(CC(=O)Nc3c(cnn3c4ccccn4)C#N)Cc2c1)C(=O)Nc5cncc6ccccc56,84.0,0.3
160,PCM-0223582,[O-][N+](=O)c1ccc(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)cc1,83.6,0.6
162,PCM-0223581,Cc1n[nH]c(NC(=O)CN2C[C@@H](C(=O)Nc3cncc4ccccc34)c5ccc(Cl)cc5C2)c1Br,63.3,0.7
164,PCM-0223580,Clc1ccc2[C@@H](CN(CC(=O)N3CCN(CC3)C(=O)C4CC4)Cc2c1)C(=O)Nc5cncc6ccccc56,64.5,0.2
